line_number,line_text,speaker,norm_speaker,eng_speaker
121,πευκάενθʼ Ἥφαιστον ἑλεῖν. τοῖος ἀμφὶ νῶτʼ ἐτάθη,Χορός,Χορος,Xoros
125,"πάταγος Ἄρεος, ἀντιπάλῳ δυσχείρωμα δράκοντος.",Χορός,Χορος,Xoros
127,Ζεὺς γὰρ μεγάλης γλώσσης κόμπους,Χορός,Χορος,Xoros
128,"ὑπερεχθαίρει, καὶ σφας ἐσιδὼν",Χορός,Χορος,Xoros
129,πολλῷ ῥεύματι προσνισσομένους,Χορός,Χορος,Xoros
130,"χρυσοῦ καναχῆς ὑπεροπλίαις,",Χορός,Χορος,Xoros
131,παλτῷ ῥιπτεῖ πυρὶ βαλβίδων,Χορός,Χορος,Xoros
132,ἐπʼ ἄκρων ἤδη,Χορός,Χορος,Xoros
133,νίκην ὁρμῶντʼ ἀλαλάξαι.,Χορός,Χορος,Xoros
134,ἀντιτύπᾳ δʼ ἐπὶ γᾷ πέσε τανταλωθεὶς,Χορός,Χορος,Xoros
135,"πυρφόρος, ὃς τότε μαινομένᾳ ξὺν ὁρμᾷ",Χορός,Χορος,Xoros
136,βακχεύων ἐπέπνει,Χορός,Χορος,Xoros
137,ῥιπαῖς ἐχθίστων ἀνέμων.,Χορός,Χορος,Xoros
138,"εἶχε δʼ ἄλλᾳ τὰ μέν,",Χορός,Χορος,Xoros
139,ἄλλα δʼ ἐπʼ ἄλλοις ἐπενώμα στυφελίζων μέγας Ἄρης,Χορός,Χορος,Xoros
140,δεξιόσειρος.,Χορός,Χορος,Xoros
141,ἑπτὰ λοχαγοὶ γὰρ ἐφʼ ἑπτὰ πύλαις,Χορός,Χορος,Xoros
142,ταχθέντες ἴσοι πρὸς ἴσους ἔλιπον,Χορός,Χορος,Xoros
143,"Ζηνὶ τροπαίῳ πάγχαλκα τέλη,",Χορός,Χορος,Xoros
144,"πλὴν τοῖν στυγεροῖν, ὣ πατρὸς ἑνὸς",Χορός,Χορος,Xoros
145,μητρός τε μιᾶς φύντε καθʼ αὑτοῖν,Χορός,Χορος,Xoros
146,δικρατεῖς λόγχας στήσαντʼ ἔχετον,Χορός,Χορος,Xoros
147,κοινοῦ θανάτου μέρος ἄμφω.,Χορός,Χορος,Xoros
148,ἀλλὰ γὰρ ἁ μεγαλώνυμος ἦλθε Νίκα,Χορός,Χορος,Xoros
149,"τᾷ πολυαρμάτῳ ἀντιχαρεῖσα Θήβᾳ,",Χορός,Χορος,Xoros
150,ἐκ μὲν δὴ πολέμων,Χορός,Χορος,Xoros
151,"τῶν νῦν θέσθαι λησμοσύναν,",Χορός,Χορος,Xoros
152,θεῶν δὲ ναοὺς χοροῖς,Χορός,Χορος,Xoros
153,"παννυχίοις πάντας ἐπέλθωμεν, ὁ Θήβας δʼ ἐλελίχθων",Χορός,Χορος,Xoros
154,Βάκχιος ἄρχοι.,Χορός,Χορος,Xoros
155,"ἀλλʼ ὅδε γὰρ δὴ βασιλεὺς χώρας,",Χορός,Χορος,Xoros
156,Κρέων ὁ Μενοικέως,Χορός,Χορος,Xoros
157,νεαραῖσι θεῶν ἐπὶ συντυχίαις,Χορός,Χορος,Xoros
158,"χωρεῖ, τίνα δὴ μῆτιν ἐρέσσων,",Χορός,Χορος,Xoros
160,ὅτι σύγκλητον τήνδε γερόντων,Χορός,Χορος,Xoros
161,"προὔθετο λέσχην, [ κοινῷ κηρύγματι πέμψας; ]",Χορός,Χορος,Xoros
162,"ἄνδρες, τὰ μὲν δὴ πόλεος ἀσφαλῶς θεοὶ",Κρέων,Κρεων,Krewn
163,πολλῷ σάλῳ σείσαντες ὤρθωσαν πάλιν.,Κρέων,Κρεων,Krewn
164,ὑμᾶς δʼ ἐγὼ πομποῖσιν ἐκ πάντων δίχα,Κρέων,Κρεων,Krewn
