lemma_id,headword
121373,loi/sqios
197566,ei)na/lios
72087,ei(le/w
97523,numfa/s
35655,ei)/qe
30636,fh/mh
311311,u(pe/rmaxos
98308,*(ri/ph
110141,stu/flos
176099,a)naptu/w
82376,ko/ris
108623,o)mbro/w
68940,dei=na
89241,yu=xos
105740,glw=ssa
122091,xlwra/zw
48059,i(/kw
51055,le/gw
42199,e)rw=
57573,r(iph/
51392,gu/hs
85774,o)/nqos
121900,fqo/ggos
133873,o)mbre/w
170977,i(kne/omai
144404,eu)na/zw
71443,pera/w
48193,nao/w
81341,fh=mis
117927,naieta/w
10446,nu=n
107829,a)/llos
79187,e)kre/w
96448,ko/mpos
87533,kompo/s
66902,fu/sas
184648,a)nakwku/w
268072,u(peralgh/s
168519,e)corqo/w
300692,e)pi/rroqos
267294,a)mfixa/skw
220707,e)ntribh/s
85323,mania/w
42116,mani/a
111904,e)ta/zw
91734,blw/skw
79866,lo/gxh
101553,fqina/w
179409,kelaino/s
71150,path/r
107047,o(rato/s
39002,sfei=s
98764,po/ntos
75580,pe/ran
235863,e)pi/stamai
96233,kuklo/w
180162,a)kosme/w
134917,numfia/w
102101,pleiw/n
45688,qh/ra
113142,dra/kwn
51747,ne/os
231658,e)pi/skopos
76882,pe/don
59358,mu/zw
69437,po/sis
38724,kwku/w
117462,a(marth=
73293,fusa/w
104717,di/yios
272970,a)mfiloge/omai
71009,eu)gma
92737,au)qadi/a
238557,pa/gxalkos
336095,h(merosko/pos
239275,duspotme/w
83562,ph/mwn
351633,h(mero/skopos
114845,ble/yis
110748,ge/raira
92294,eu)=gma
130004,a)/shmos
171916,dei/laios
143931,*oi)wno/s
242805,kore/nnumi
77439,xlwra/w
83692,pai/zw
213589,a)/gnwtos
105149,drato/s
68937,nei/kh
158505,u(/ptios
282407,pagxa/lkeos
252811,e(sti/ouxos
184119,dusfro/nh
87743,nu/xos
214088,periskelh/s
241220,e(stiou=xos
53613,eu)nh/
58632,yu/xw
107451,diplo/w
84999,e)/xqw
37304,fanh/
50229,o(do/w
98551,a)gre/w
30011,fu/w
235008,meta/rsios
115842,a)/kros
133583,a)ndri/s
78329,a)/kwn
175242,eu)/qunos
79908,au)lei/a
239593,kata/sxetos
258423,a)gro/nomos
254535,a)grono/mos
97691,qro/nos
188849,melaqro/w
153289,o)rniqw/n
47297,sei/w
5050,te
102597,o)fru/s
70957,au)da/w
87785,polio/w
117468,pte/rwn
119602,mela/qra
84272,la/skw
202923,parasta/ths
242677,a)palla/ssw
72557,*deu/s
104859,qermo/s
74330,lito/s
138319,paga/omai
105031,a)gria/s
122397,a)neme/w
140070,a)ndro/w
108153,u)/mmos
98757,fqina/s
129676,eu)sebi/a
183414,gunaiko/w
144842,gunaikw/n
240803,parastate/w
139408,kleino/s
50050,la/xh
39604,laxh/
107603,a)ndrw/n
62782,ei)=ta
118223,o)/mbros
117962,o/)mbros
132270,lagxa/nw
83507,pa/ros
115075,doka/zw
102131,ku/klos
72170,fano/s
113999,nei=kos
66981,phga/s
21460,dei=
282953,a)nume/naios
180384,a)/nolbos
129463,stufelo/s
252192,e)pa/rkesis
147883,e)mptu/w
203026,kalu/pths
82527,mania/s
128396,dia/zomai
28685,di/w
78605,*di=os
60841,fana/w
48735,fu=sa
191360,a(marta/nw
137772,a)nemo/w
196181,plhsia/zw
127697,ou(/neka
85564,neike/w
78993,e)/pos
27235,mh/s
247532,a)pw/motos
242593,e)pirroqe/w
194828,a)gxistei/a
129001,e)/rebos
166387,du/sfrwn
180193,malqa/ssw
136975,ei)sh/kw
74361,cure/w
66741,a)ke/w
24125,u(=s
343365,gunaikwni=tis
86007,le/xos
99655,pikra/s
82478,nea/zw
183974,kerdai/nw
68257,h(du/s
72348,pole/w
78939,e)xqe/s
133553,o)rqia/w
72741,tri/xa
240416,pa/gkoinos
183261,*)/erebos
140364,palta/zw
67755,w)ti/s
158351,a(/teros
143589,i(ke/ths
108039,proxe/w
45987,a)/kra
112997,e(/lkos
77309,te/llw
188307,e)na/lios
192668,o)rqia/zw
115855,e)nqadi/
109383,fqito/w
391642,peripeta/nnumi
258564,au)toxeiri/
142635,e)pilu/w
149282,o(rma/zw
61778,mi/asma
157087,e)mple/kw
80378,po/lis
119529,a)peilh/
143092,e)xqro/s
