lemma_id,lemma,full_eng,urn,line_number,normalized,eng_lemma,case_type,number,gender,voice,tense,mood,person,ppl_voice,ppl_tense,ppl_gender,ppl_case,prn_type,prn_case,prn_gender
23982,ἐν,e)n,urn:cts:greekLit:tlg0011.tlg002:16,16,εν,en,accusative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
37799,νύξ,nu/c,urn:cts:greekLit:tlg0011.tlg002:16,16,νυξ,nuc,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13921,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:16,16,ο,o,None,None,None,None,None,None,None,None,None,None,None,None,None,None
41610,νῦν,nu=n,urn:cts:greekLit:tlg0011.tlg002:16,16,νυν,nun,accusative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
74351,οὐδείς,ou)dei/s,urn:cts:greekLit:tlg0011.tlg002:16,16,ουδεις,oudeis,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
48157,οἶδα,oi)=da,urn:cts:greekLit:tlg0011.tlg002:16,16,οιδα,oida,nominative,sg,feminine,None,None,None,None,None,None,None,None,None,None,None
115438,ὑπέρτερος,u(pe/rteros,urn:cts:greekLit:tlg0011.tlg002:16,16,υπερτερος,uperteros,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
53557,οὔτε,ou)/te,urn:cts:greekLit:tlg0011.tlg002:17,17,ουτε,oute,vocative,sg,masculine,active,present,imperative,2nd,None,None,None,None,None,None,None
23657,τε,te,urn:cts:greekLit:tlg0011.tlg002:17,17,τε,te,vocative,sg,masculine,active,present,imperative,2nd,None,None,None,None,None,None,None
93687,εὐτυχέω,eu)tuxe/w,urn:cts:greekLit:tlg0011.tlg002:17,17,ευτυχεω,eutuxew,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
32954,μάλα,mla,urn:cts:greekLit:tlg0011.tlg002:17,17,μαλα,mala,nominative,sg,feminine,None,None,None,None,None,None,None,None,None,None,None
53557,οὔτε,ou)/te,urn:cts:greekLit:tlg0011.tlg002:17,17,ουτε,oute,vocative,sg,masculine,active,present,imperative,2nd,None,None,None,None,None,None,None
23657,τε,te,urn:cts:greekLit:tlg0011.tlg002:17,17,τε,te,vocative,sg,masculine,active,present,imperative,2nd,None,None,None,None,None,None,None
69182,ἀτάομαι,a)tomai,urn:cts:greekLit:tlg0011.tlg002:17,17,αταομαι,ataomai,nominative,pl,feminine,mediopassive,present,indicative,1st,None,None,None,None,None,None,None
48157,οἶδα,oi)=da,urn:cts:greekLit:tlg0011.tlg002:18,18,οιδα,oida,nominative,sg,feminine,None,None,None,None,None,None,None,None,None,None,None
60277,καλός,kalo/s,urn:cts:greekLit:tlg0011.tlg002:18,18,καλος,kalos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
34092,καί,kai/,urn:cts:greekLit:tlg0011.tlg002:18,18,και,kai,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29123,σύ,su/,urn:cts:greekLit:tlg0011.tlg002:18,18,συ,su,None,None,None,None,None,None,None,None,None,None,None,personal,nominative,singular
64542,ἐκτός,e)kto/s,urn:cts:greekLit:tlg0011.tlg002:18,18,εκτος,ektos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
85424,αὔλειος,au)/leios,urn:cts:greekLit:tlg0011.tlg002:18,18,αυλειος,auleios,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
50922,πύλη,pu/lh,urn:cts:greekLit:tlg0011.tlg002:18,18,πυλη,pulh,nominative,sg,feminine,active,pluperfect,indicative,1st,None,None,None,None,None,None,None
36331,ὅδε,o(/de,urn:cts:greekLit:tlg0011.tlg002:19,19,οδε,ode,vocative,sg,masculine,active,present,imperative,2nd,None,None,None,None,None,None,None
72978,οὕνεκα,ou(/neka,urn:cts:greekLit:tlg0011.tlg002:19,19,ουνεκα,ouneka,nominative,sg,feminine,active,perfect,indicative,1st,None,None,None,None,None,None,None
86871,ἐκπέμπω,e)kpe/mpw,urn:cts:greekLit:tlg0011.tlg002:19,19,εκπεμπω,ekpempw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
28986,ὡς,w(s,urn:cts:greekLit:tlg0011.tlg002:19,19,ως,ws,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
64057,μόνος,mo/nos,urn:cts:greekLit:tlg0011.tlg002:19,19,μονος,monos,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
53172,κλύω,klu/w,urn:cts:greekLit:tlg0011.tlg002:19,19,κλυω,kluw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
39915,τίς,ti/s,urn:cts:greekLit:tlg0011.tlg002:20,20,τις,tis,nominative,sg,neuter,None,None,None,None,None,None,None,None,interrogative,nominative,masculine_feminine
22410,δέ,de/,urn:cts:greekLit:tlg0011.tlg002:20,20,δε,de,None,None,None,None,None,None,None,None,None,None,None,None,None,None
48022,εἰμί,ei)mi/,urn:cts:greekLit:tlg0011.tlg002:20,20,ειμι,eimi,None,None,None,None,None,None,None,None,None,None,None,None,None,None
61171,δηλόω,dhlo/w,urn:cts:greekLit:tlg0011.tlg002:20,20,δηλοω,dhlow,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
23605,γάρ,gr,urn:cts:greekLit:tlg0011.tlg002:20,20,γαρ,gar,None,None,None,None,None,None,None,None,None,None,None,None,None,None
37706,τις,tis,urn:cts:greekLit:tlg0011.tlg002:20,20,τις,tis,nominative,sg,neuter,None,None,None,None,None,None,None,None,indefinite,nominative,masculine_feminine
95826,καλχαίνω,kalxai/nw,urn:cts:greekLit:tlg0011.tlg002:20,20,καλχαινω,kalxainw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
52181,ἔπος,e)/pos,urn:cts:greekLit:tlg0011.tlg002:20,20,επος,epos,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
27691,οὐ,ou),urn:cts:greekLit:tlg0011.tlg002:21,21,ου,ou,None,None,None,None,None,None,None,None,None,None,None,None,None,None
23605,γάρ,gr,urn:cts:greekLit:tlg0011.tlg002:21,21,γαρ,gar,None,None,None,None,None,None,None,None,None,None,None,None,None,None
